date,model,feature,provider,requests,input_tokens,output_tokens,cached_input_tokens,cache_write_tokens,reasoning_tokens,cost_usd
2026-08-16,claude-sonnet-5,chat,anthropic,185,401450,50135,181298,14503,,1.521257
2026-08-16,claude-sonnet-5,summarize,anthropic,327,417906,177234,143201,11456,,3.568545
2026-08-16,gpt-4o,agent-runs,openai,342,304380,110124,165195,13215,,1.531798
2026-08-16,gpt-4o,chat,openai,393,809973,110826,113099,9047,,2.906992
2026-08-16,gpt-4o,summarize,openai,232,399504,83288,77467,6197,,1.676705
2026-08-17,claude-haiku-4-5,agent-runs,anthropic,366,417606,106872,208858,16708,,0.784879
2026-08-17,claude-haiku-4-5,chat,anthropic,216,334368,53352,83176,6654,,0.534587
2026-08-17,claude-haiku-4-5,summarize,anthropic,149,162112,100724,48695,3895,,0.626775
2026-08-17,claude-sonnet-5,agent-runs,anthropic,250,318500,53250,162748,13019,,1.363652
2026-08-17,claude-sonnet-5,chat,anthropic,180,316980,26460,109330,8746,,1.085446
2026-08-17,claude-sonnet-5,summarize,anthropic,122,107238,45140,28186,2254,,0.931164
2026-08-17,gpt-4o,agent-runs,openai,265,609765,76585,62236,4978,,2.165788
2026-08-17,gpt-4o,chat,openai,387,347526,94815,178522,14281,,1.459919
2026-08-17,gpt-4o,summarize,openai,227,454681,111684,60233,4818,,2.133075
2026-08-18,claude-haiku-4-5,agent-runs,anthropic,370,473600,64380,167151,13372,,0.661779
2026-08-18,claude-haiku-4-5,chat,anthropic,153,257193,78795,16730,1338,,0.637783
2026-08-18,claude-haiku-4-5,summarize,anthropic,168,216384,109536,15646,1251,,0.751546
2026-08-18,claude-sonnet-5,agent-runs,anthropic,88,81312,28512,18425,1474,,0.627396
2026-08-18,claude-sonnet-5,chat,anthropic,119,182070,18088,40394,3231,,0.720582
2026-08-18,claude-sonnet-5,summarize,anthropic,150,184500,76500,62429,4994,,1.551169
2026-08-18,gpt-4o,agent-runs,openai,328,508072,176464,230569,18445,,2.57368
2026-08-18,gpt-4o,chat,openai,154,219450,96866,72429,5794,,1.372426
2026-08-18,gpt-4o,summarize,openai,256,369152,178688,153906,12312,,2.401947
2026-08-19,claude-haiku-4-5,agent-runs,anthropic,106,166844,24062,48288,3863,,0.248524
2026-08-19,claude-haiku-4-5,chat,anthropic,244,521916,105408,253352,20268,,0.846274
2026-08-19,claude-haiku-4-5,summarize,anthropic,205,175070,118285,23335,1866,,0.747826
2026-08-19,claude-sonnet-5,agent-runs,anthropic,231,481635,130053,193908,15512,,2.930318
2026-08-19,claude-sonnet-5,chat,anthropic,369,307746,242802,55917,4473,,4.431066
2026-08-19,claude-sonnet-5,summarize,anthropic,301,439460,43344,77511,6200,,1.78251
2026-08-19,gpt-4o,agent-runs,openai,193,372490,106343,116120,9289,,1.762413
2026-08-19,gpt-4o,chat,openai,359,440493,188475,227793,18223,,2.530395
2026-08-19,gpt-4o,summarize,openai,268,636232,181972,147460,11796,,3.115378
